"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"NPR3","natriuretic peptide receptor 3","0.5","0.8541","0.4737","0.4958","0.8243","0.9395","0.1834"
"ENO3","enolase 3","0.5","0.2792","0.034","0.4732","0.2961","0.565","0.305"
"NCSTN","nicastrin","0.5","0.2649","0.1239","0.0695","0.0957","0.326","0.9511"
"ZNF805","zinc finger protein 805","0.5","0.4988","0.3864","0.2397","0.2392","0.7937","0.0484"
"DKC1","dyskerin pseudouridine synthase 1","0.5","0.5705","0.2465","0.105","0.1224","0.0305","0.9467"
"KCNC4","potassium voltage-gated channel subfamily C member 4","0.5","0.2607","0.7265","0.4091","0.9582","0.1713","0.3035"
"GEMIN2","gem nuclear organelle associated protein 2","0.5","0.236","0.1394","0.9866","0.6268","0.1155","0.5069"
"RNF38","ring finger protein 38","0.5","0.7143","0.2722","0.6392","0.4853","0.2237","0.1315"
"CTSS","cathepsin S","0.5","0.6915","0.8773","0.9881","0.9759","0.6804","0.7942"
"PWWP2A","PWWP domain containing 2A","0.5","0.912","0.4555","0.2906","0.8392","0.7427","0.9879"
"ACADM","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","0.5","0.5364","0.5087","0.2626","0.9741","0.9","0.8579"
"FAM91A1","family with sequence similarity 91 member A1","0.5","0.1231","0.0742","0.3439","0.7633","0.2351","0.2062"
"CDK17","cyclin dependent kinase 17","0.5","0.0803","0.5228","0.679","0.9453","0.1868","0.2594"
"ISX","intestine specific homeobox","0.5","0.9437","0.4598","0.6231","0.9563","0.5194","0.5608"
"SCRT1","scratch family transcriptional repressor 1","0.5","0.519","0.7914","0.5929","0.6679","0.6727","0.9374"
"ZNF660","zinc finger protein 660","0.5","0.9904","0.5909","0.796","0.4044","0.6193","0.9325"
"PRDM2","PR/SET domain 2","0.5","0.6311","0.648","0.1949","0.3844","0.3293","0.0399"
"POP4","POP4 homolog, ribonuclease P/MRP subunit","0.5","0.5135","0.5111","0.6927","0.5835","0.6291","0.712"
"FAM160A2","family with sequence similarity 160 member A2","0.5","0.6893","0.2176","0.9931","0.8657","0.3258","0.1408"
"FGB","fibrinogen beta chain","0.5","0.7607","0.0792","0.5256","0.1791","0.6055","0.282"
"SAR1B","secretion associated Ras related GTPase 1B","0.5","0.0102","0.9767","0.3255","0.4048","0.4253","0.7792"
"DMP1","dentin matrix acidic phosphoprotein 1","0.5","0.1928","0.5464","0.3424","0.9071","0.563","0.9798"
"WDR31","WD repeat domain 31","0.5","0.2443","0.6514","0.3961","0.7783","0.409","0.5657"
"TBC1D8","TBC1 domain family member 8","0.5","0.6638","0.9181","0.7341","0.6128","0.4748","0.3005"
"EFCAB13","EF-hand calcium binding domain 13","0.5","0.0892","0.808","0.5224","0.5917","0.8137","0.0436"
"DEFA1B","defensin alpha 1B","0.5","0.9745","0.5211","0.3152","0.4698","0.4778","0.3547"
"FTL","ferritin light chain","0.5","0.4078","0.5458","0.7192","0.2431","0.5564","0.4228"
"GRIA1","glutamate ionotropic receptor AMPA type subunit 1","0.5","0.9637","0.2599","0.2049","0.8069","0.8242","0.7444"
"MYLIP","myosin regulatory light chain interacting protein","0.5","0.0183","0.0786","0.2674","0.7247","0.1403","0.0188"
"STOM","stomatin","0.5","0.798","0.9137","0.2653","0.4895","0.5622","0.5909"
"CDC42BPB","CDC42 binding protein kinase beta","0.5","0.4174","0.9569","0.333","0.8039","0.7747","0.9272"
"HSPA12A","heat shock protein family A (Hsp70) member 12A","0.5","0.6858","0.0978","0.8281","0.5598","0.9435","0.7107"
"BTBD16","BTB domain containing 16","0.5","0.9529","0.0523","0.7724","0.0565","0.8336","0.5019"
"OR2D3","olfactory receptor family 2 subfamily D member 3","0.5","0.911","0.0074","0.0161","0.9048","0.6733","0.4372"
"SLAMF9","SLAM family member 9","0.5","0.1521","0.5189","0.1422","0.2077","0.7282","0.5952"
